TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,Price
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,128,0,0,1339.69
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,No,0,0,0,128,898.94
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.86,No,0,256,0,0,575.0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,No,0,512,0,0,2537.45
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,256,0,0,1803.6
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,No,500,0,0,0,400.0
Ultrabook,15.4,2880x1800,Intel i7,16,Mac OS X,2.04,No,0,0,0,256,2139.97
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,No,0,0,0,256,1158.7
Ultrabook,14.0,1920x1080,Intel i7,16,Windows 10,1.3,No,0,512,0,0,1495.0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,No,0,256,0,0,770.0
Notebook,15.6,1366x768,Intel i5,4,No OS,1.86,No,500,0,0,0,393.9
Notebook,15.6,1920x1080,Intel i3,4,No OS,1.86,No,500,0,0,0,344.99
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,No,0,256,0,0,2439.97
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,No,0,256,0,0,498.9
Ultrabook,12.0,2304x1440,Intel M ,8,macOS,0.92,No,0,256,0,0,1262.4
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,256,0,0,1518.55
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,0,256,0,0,745.0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,No,0,512,0,0,2858.0
Notebook,15.6,1920x1080,Intel i3,8,No OS,2.2,No,1000,0,0,0,499.0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.22,Yes,0,128,0,0,979.0
Netbook,11.6,1366x768,Intel Atom,2,Windows 10,0.98,No,0,0,0,32,191.9
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,No,1000,128,0,0,999.0
Notebook,15.6,1366x768,AMD E,4,No OS,1.86,No,500,0,0,0,258.0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.62,Yes,0,256,0,0,819.0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,No,0,256,0,0,659.0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.3,No,1000,0,0,0,418.64
Ultrabook,13.3,1440x900,Intel i5,8,Mac OS X,1.35,No,0,0,0,128,1099.0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.2,No,0,256,0,0,800.0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.88,No,0,512,0,0,1298.0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,1000,0,0,0,896.0
Notebook,15.6,1920x1080,Intel Atom,4,Windows 10,1.89,No,0,0,0,64,244.99
Notebook,14.0,1366x768,AMD E,2,Windows 10,1.65,No,0,0,0,32,199.0
Notebook,17.3,1920x1080,AMD A6,4,Windows 10,2.71,No,500,0,0,0,439.0
Ultrabook,13.3,3200x1800,Intel i7,16,Windows 10,1.2,Yes,0,512,0,0,1869.0
Ultrabook,13.3,1440x900,Intel i5,8,Mac OS X,1.35,No,0,0,0,256,998.0
