TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,Price_euros,TouchScreen,HDD,SSD,SSHD,FStorage
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,1339.69,No,0,128,0,0
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,898.94,No,0,0,0,128
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.86,575.0,No,0,256,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,2537.45,No,0,512,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,1803.6,No,0,256,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,400.0,No,500,0,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,Mac OS X,2.04,2139.97,No,0,0,0,256
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,1158.7,No,0,0,0,256
Ultrabook,14.0,1920x1080,Intel i7,16,Windows 10,1.3,1495.0,No,0,512,0,0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,770.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,4,No OS,1.86,393.9,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i3,4,No OS,1.86,344.99,No,500,0,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,2439.97,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,498.9,No,0,256,0,0
Ultrabook,12.0,2304x1440,Intel M ,8,macOS,0.92,1262.4,No,0,256,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,1518.55,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,745.0,No,0,256,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,2858.0,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i3,8,No OS,2.2,499.0,No,1000,0,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.22,979.0,Yes,0,128,0,0
Netbook,11.6,1366x768,Intel Atom,2,Windows 10,0.98,191.9,No,0,0,0,32
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,999.0,No,1000,128,0,0
Notebook,15.6,1366x768,AMD E,4,No OS,1.86,258.0,No,500,0,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.62,819.0,Yes,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,659.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.3,418.64,No,1000,0,0,0
