Inches,ScreenResolution,Cpu,Ram,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,LaptopPrice
13.3,11,15,8,1.37,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1339.69
13.3,2,15,8,1.34,0,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,898.94
15.6,4,15,8,1.86,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,575.0
15.4,12,16,16,1.83,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2537.45
13.3,11,15,8,1.37,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1803.6
15.6,1,5,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,400.0
15.4,12,16,16,2.04,0,0,0,0,256,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2139.97
13.3,2,15,8,1.34,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1158.7
14.0,4,16,16,1.3,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1495.0
14.0,4,15,8,1.6,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,770.0
15.6,1,15,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,393.9
15.6,4,14,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,344.99
15.4,12,16,16,1.83,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2439.97
15.6,4,14,4,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,498.9
12.0,7,11,8,0.92,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1262.4
13.3,11,15,8,1.37,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1518.55
15.6,4,16,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,745.0
15.4,12,16,16,1.83,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2858.0
15.6,4,14,8,2.2,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,499.0
13.3,4,15,8,1.22,1,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,979.0
11.6,1,9,2,0.98,0,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,191.9
15.6,4,15,8,2.5,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,999.0
15.6,1,6,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,258.0
13.3,4,15,8,1.62,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,819.0
15.6,4,16,8,1.91,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,659.0
15.6,1,14,4,2.3,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,418.64
13.3,2,15,8,1.35,0,0,0,0,128,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1099.0
15.6,4,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,800.0
15.6,4,16,8,1.88,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1298.0
17.3,4,15,8,2.5,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,896.0
15.6,4,9,4,1.89,0,0,0,0,64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,244.99
14.0,1,6,2,1.65,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,199.0
17.3,4,3,4,2.71,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,439.0
13.3,13,16,16,1.2,1,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1869.0
13.3,2,15,8,1.35,0,0,0,0,256,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,998.0
14.0,1,10,4,1.44,0,0,0,0,64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,249.0
15.6,1,14,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,367.0
17.3,4,15,8,2.8,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,979.0
15.6,1,15,4,1.86,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,488.69
15.6,4,15,8,2.1,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,879.0
15.6,4,14,4,2.0,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,389.0
15.6,4,16,16,2.65,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1499.0
15.6,1,15,8,2.3,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,522.99
15.6,4,15,4,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,682.0
17.3,4,15,12,2.77,1,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,999.0
13.3,11,15,8,1.37,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1419.0
15.6,1,14,4,2.2,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,369.0
17.3,4,8,8,3.2,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1299.0
15.6,4,15,4,2.3,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,639.0
17.3,1,12,4,2.8,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,466.0
10.1,5,9,4,0.69,1,0,0,0,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,319.0
15.6,4,16,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,841.0
15.6,4,3,4,1.86,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,398.49
13.3,4,16,8,1.49,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1103.0
15.6,1,14,4,2.4,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,384.0
15.6,4,16,8,2.13,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,767.8
15.6,4,14,4,1.91,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,439.0
15.6,1,15,4,2.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,586.19
17.3,4,16,16,2.43,0,2000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2449.0
15.6,4,14,4,2.0,0,0,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,415.0
17.3,4,16,16,2.8,0,2000,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1299.0
14.0,4,15,8,1.7,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,879.0
14.0,4,14,8,1.7,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,599.0
14.0,4,15,8,1.4,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,941.0
15.6,4,15,8,1.86,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,690.0
15.6,4,16,16,1.8,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1983.0
15.6,1,14,4,1.86,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,438.69
14.0,1,10,4,1.44,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,229.0
15.6,4,15,4,1.9,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,549.0
17.3,4,16,12,3.0,0,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,949.0
13.5,8,15,4,1.25,1,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1089.0
13.3,4,16,8,1.4,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,955.0
15.6,4,16,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,870.0
